,Binomial,Nrec,Group,ROC,TSS,Sensitivity,Specificity,Cutoff,job,Done
592,Licariabrasiliensis,28,Trees,0.9 +/- 0.04,0.8 +/- 0.08,87.5 +/- 7.35,92.97 +/- 7.17,0.24 +/- 0.18,8,TRUE
593,Licariachrysophylla,3,Trees,NA,NA,NA,NA,NA,8,FALSE
594,Licariacrassifolia,5,Trees,1 +/- 0.05,1 +/- 0.06,100 +/- 0,96.03 +/- 6.47,0.27 +/- 0.08,8,FALSE
595,Licariaguianensis,13,Trees,1 +/- 0.03,0.9 +/- 0.08,100 +/- 0,93.22 +/- 8.02,0.22 +/- 0.14,8,TRUE
596,Lindackerialatifolia,17,Trees,1 +/- 0.03,0.9 +/- 0.07,100 +/- 0,93.54 +/- 6.95,0.25 +/- 0.12,8,TRUE
597,Lindackeriapaludosa,11,Trees,0.9 +/- 0.04,0.9 +/- 0.07,100 +/- 0,90.81 +/- 7.01,0.28 +/- 0.19,8,TRUE
598,Lindackeriaparaensis,37,Trees,0.9 +/- 0.05,0.8 +/- 0.09,96.22 +/- 7.3,88.23 +/- 8.09,0.17 +/- 0.11,8,TRUE
599,Lipaugusvociferans,101,Birds,1 +/- 0.03,0.9 +/- 0.06,90.91 +/- 6.39,92.62 +/- 13.73,0.24 +/- 0.24,8,TRUE
600,Lophostrixcristata,4,Birds,NA,NA,NA,NA,NA,8,FALSE
601,Lophotriccusgaleatus,154,Birds,0.9 +/- 0.01,0.7 +/- 0.04,89.71 +/- 4.52,84.82 +/- 5.24,0.09 +/- 0.03,8,TRUE
602,Lueheagrandiflora,19,Trees,0.9 +/- 0.03,0.9 +/- 0.07,99.19 +/- 4.49,88.15 +/- 6.42,0.17 +/- 0.1,8,TRUE
603,Lueheopsisduckeana,17,Trees,0.9 +/- 0.05,0.9 +/- 0.09,100 +/- 0,88.73 +/- 8.92,0.3 +/- 0.19,8,TRUE
604,Lurocalissemitorquatus,47,Birds,1 +/- 0.04,0.9 +/- 0.08,92.67 +/- 8.28,96.85 +/- 3.3,0.18 +/- 0.11,8,TRUE
605,Mabeaangustifolia,11,Trees,1 +/- 0.07,0.9 +/- 0.12,100 +/- 0,90.56 +/- 11.57,0.33 +/- 0.24,8,TRUE
606,Mabeapiriri,22,Trees,0.9 +/- 0.07,0.8 +/- 0.12,98.33 +/- 6.45,85.45 +/- 12.59,0.27 +/- 0.28,8,TRUE
607,Mabeasp,3,Trees,NA,NA,NA,NA,NA,8,FALSE
608,Mabeaspeciosa,40,Trees,0.9 +/- 0.04,0.8 +/- 0.06,87.05 +/- 8.66,94.09 +/- 6.09,0.18 +/- 0.09,8,TRUE
609,Machaeriumaureiflorum,1,Trees,NA,NA,NA,NA,NA,8,FALSE
610,Machaeriuminundatum,8,Trees,1 +/- 0.05,1 +/- 0.07,100 +/- 0,95.35 +/- 6.53,0.27 +/- 0.17,8,FALSE
611,Machaeriumlatifolium,59,Trees,0.8 +/- 0.04,0.6 +/- 0.07,83.91 +/- 10.43,76.21 +/- 10.87,0.13 +/- 0.09,8,Excluded
612,Machaeriumquinata,48,Trees,0.9 +/- 0.03,0.7 +/- 0.07,93.68 +/- 6.84,77.43 +/- 8.23,0.11 +/- 0.07,8,TRUE
613,Machaeriumsp,8,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,95.1 +/- 6.07,0.27 +/- 0.13,8,FALSE
614,Macrolobiumangustifolium,36,Trees,0.9 +/- 0.04,0.8 +/- 0.1,92.26 +/- 8.4,90.02 +/- 7.61,0.19 +/- 0.12,8,TRUE
615,Macrolobiumbrevense,4,Trees,NA,NA,NA,NA,NA,8,FALSE
616,Macrolobiumcampestre,19,Trees,1 +/- 0.04,0.9 +/- 0.1,97.58 +/- 7.51,91.51 +/- 8.9,0.25 +/- 0.22,8,TRUE
617,Macrolobiummicrocalyx,9,Trees,1 +/- 0.05,0.9 +/- 0.09,100 +/- 0,90.99 +/- 8.56,0.25 +/- 0.2,8,TRUE
618,Malacoptilarufa,28,Birds,0.9 +/- 0.04,0.8 +/- 0.08,93.01 +/- 8.36,91.26 +/- 5.68,0.17 +/- 0.15,8,TRUE
619,Mandevillahirsuta,12,Trees,0.9 +/- 0.06,0.9 +/- 0.1,100 +/- 0,85.1 +/- 10.05,0.28 +/- 0.18,8,TRUE
620,Manilkarabidentata,46,Trees,1 +/- 0.03,0.9 +/- 0.07,95.24 +/- 6.76,89.53 +/- 7.45,0.15 +/- 0.12,8,TRUE
621,Manilkaracavalcantei,1,Trees,NA,NA,NA,NA,NA,8,FALSE
622,Manilkarahuberi,78,Trees,1 +/- 0.04,0.8 +/- 0.07,88.59 +/- 8.83,95.84 +/- 4.5,0.18 +/- 0.12,8,TRUE
623,Manilkaraparaensis,23,Trees,1 +/- 0.04,0.9 +/- 0.09,93.33 +/- 9.55,97.01 +/- 5.55,0.32 +/- 0.18,8,TRUE
624,Mappiasp,5,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.73 +/- 5.5,0.29 +/- 0.07,8,FALSE
625,Mappiasp1,8,Trees,1 +/- 0.02,1 +/- 0.05,100 +/- 0,97.63 +/- 5.34,0.32 +/- 0.11,8,FALSE
626,Maprouneaguianensis,20,Trees,0.9 +/- 0.03,0.8 +/- 0.07,97.92 +/- 7.06,85.52 +/- 7.69,0.25 +/- 0.14,8,TRUE
627,Maquiracoriacea,4,Trees,NA,NA,NA,NA,NA,8,FALSE
628,Maquiraguianensis,44,Trees,0.9 +/- 0.02,0.8 +/- 0.03,95.24 +/- 5.63,80.29 +/- 7.33,0.1 +/- 0.07,8,TRUE
629,Maquirasclerophylla,24,Trees,0.9 +/- 0.05,0.8 +/- 0.09,86.09 +/- 9.41,93.99 +/- 4.95,0.2 +/- 0.16,8,TRUE
630,Margaritarianobilis,27,Trees,0.9 +/- 0.04,0.8 +/- 0.08,90.32 +/- 10.16,93.19 +/- 8.16,0.31 +/- 0.2,8,TRUE
631,Margaritopsispodocephala,2,Trees,NA,NA,NA,NA,NA,8,FALSE
632,Maripaglabra,3,Trees,NA,NA,NA,NA,NA,8,FALSE
633,Maripasp,1,Trees,NA,NA,NA,NA,NA,8,FALSE
634,Marliereaumbraticola,23,Trees,0.9 +/- 0.05,0.9 +/- 0.09,90.5 +/- 10.11,95 +/- 6.72,0.31 +/- 0.26,8,TRUE
635,Mataybaguianensis,5,Trees,1 +/- 0.07,1 +/- 0.08,100 +/- 0,95.14 +/- 7.68,0.4 +/- 0.19,8,FALSE
636,Mataybamacrostylis,11,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,97.22 +/- 5.88,0.36 +/- 0.12,8,TRUE
637,Mataybapurgans,1,Trees,NA,NA,NA,NA,NA,8,FALSE
638,Mataybasp,2,Trees,NA,NA,NA,NA,NA,8,FALSE
639,Maytenusguianensis,8,Trees,1 +/- 0.04,1 +/- 0.06,100 +/- 0,95.05 +/- 6.05,0.23 +/- 0.09,8,FALSE
640,Maytenusmyrsinoides,32,Trees,0.9 +/- 0.05,0.7 +/- 0.09,88.24 +/- 13.93,85.11 +/- 12.51,0.17 +/- 0.13,8,Excluded
641,Megarynchuspitangua,38,Birds,0.8 +/- 0.04,0.7 +/- 0.05,89.42 +/- 8.61,76.41 +/- 8.98,0.21 +/- 0.17,9,TRUE
642,Megascopsusta,12,Birds,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.83 +/- 5.95,0.29 +/- 0.15,9,TRUE
643,Melanerpescruentatus,37,Birds,0.9 +/- 0.04,0.8 +/- 0.05,88.78 +/- 9.99,90.41 +/- 8.78,0.26 +/- 0.24,9,TRUE
644,Melicoccuspedicellaris,27,Trees,0.9 +/- 0.06,0.8 +/- 0.07,86.43 +/- 9.51,95.14 +/- 8.46,0.36 +/- 0.22,9,TRUE
645,Mendonciahoffmannseggiana,12,Trees,1 +/- 0.05,0.9 +/- 0.09,100 +/- 0,91.02 +/- 9.23,0.21 +/- 0.11,9,TRUE
646,Meziaangelica,1,Trees,NA,NA,NA,NA,NA,9,FALSE
647,Meziamariposa,6,Trees,1 +/- 0.07,0.9 +/- 0.09,100 +/- 0,92.3 +/- 8.93,0.25 +/- 0.11,9,TRUE
648,Mezilaurusdecurrens,4,Trees,NA,NA,NA,NA,NA,9,FALSE
649,Mezilaurusduckei,10,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,93.16 +/- 7.95,0.27 +/- 0.15,9,TRUE
650,Mezilaurusitauba,19,Trees,0.9 +/- 0.05,0.8 +/- 0.1,91.07 +/- 12.2,92.11 +/- 9.03,0.24 +/- 0.2,9,TRUE
651,Mezilaurussp,5,Trees,1 +/- 0.05,0.9 +/- 0.07,100 +/- 0,94.17 +/- 7.1,0.3 +/- 0.09,9,TRUE
652,Miconiaaffinis,47,Trees,0.9 +/- 0.05,0.8 +/- 0.09,88.89 +/- 9.99,95.61 +/- 4.82,0.22 +/- 0.13,9,TRUE
653,Miconiachrysophylla,13,Trees,1 +/- 0.03,0.9 +/- 0.08,100 +/- 0,92.31 +/- 8.34,0.23 +/- 0.14,9,TRUE
654,Miconiaegensis,2,Trees,NA,NA,NA,NA,NA,9,FALSE
655,Miconiagratissima,5,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.54 +/- 5.9,0.32 +/- 0.09,9,FALSE
656,Miconiaholosericea,1,Trees,NA,NA,NA,NA,NA,9,FALSE
657,Miconiaminutiflora,22,Trees,0.9 +/- 0.04,0.8 +/- 0.08,91.67 +/- 11.99,85.98 +/- 11.15,0.21 +/- 0.17,9,TRUE
658,Miconiamirabilis,7,Trees,1 +/- 0.04,1 +/- 0.08,100 +/- 0,95.16 +/- 7.9,0.32 +/- 0.08,9,FALSE
659,Miconianervosa,2,Trees,NA,NA,NA,NA,NA,9,FALSE
660,Miconiapaniculata,6,Trees,0.9 +/- 0.08,0.9 +/- 0.09,100 +/- 0,90.76 +/- 8.88,0.21 +/- 0.08,9,TRUE
661,Miconiaphanerostila,5,Trees,0.9 +/- 0.06,0.9 +/- 0.09,100 +/- 0,91.57 +/- 9.25,0.23 +/- 0.14,9,TRUE
662,Miconiapoeppigii,12,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,95.71 +/- 5.64,0.33 +/- 0.15,9,TRUE
663,Miconiapunctata,8,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.09 +/- 5.89,0.35 +/- 0.16,9,FALSE
664,Miconiapyrifolia,11,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,90.24 +/- 8.62,0.32 +/- 0.27,9,TRUE
665,Miconiaruficalyx,19,Trees,1 +/- 0.02,1 +/- 0.04,100 +/- 0,95.02 +/- 4.24,0.24 +/- 0.09,9,TRUE
666,Micrasturmintoni,28,Birds,0.9 +/- 0.04,0.9 +/- 0.08,89.8 +/- 8.2,96.39 +/- 5.32,0.29 +/- 0.19,9,TRUE
667,Micrasturmirandollei,2,Birds,NA,NA,NA,NA,NA,9,FALSE
